Time (sec),Memory Usage (%),replica
2.316172684234179,4.363082627118642,1
2.316172684234179,4.469014830508478,1
2.3445527769975687,4.469014830508478,1
2.3445527769975687,4.574947033898303,1
2.373316249216958,4.574947033898303,1
2.373316249216958,4.5948093220339,1
2.3838150889364056,4.5948093220339,1
2.3838150889364056,4.5948093220339,1
2.3915838902008835,4.5948093220339,1
2.3915838902008835,4.5948093220339,1
2.399311948553361,4.5948093220339,1
2.399311948553361,4.5948093220339,1
2.407040006905839,4.5948093220339,1
2.407040006905839,4.5948093220339,1
2.4147680652583166,4.5948093220339,1
2.4147680652583166,4.5948093220339,1
2.4224961236107942,4.5948093220339,1
2.4224961236107942,4.5948093220339,1
2.430224181963272,4.5948093220339,1
2.430224181963272,4.5948093220339,1
2.4379522403157496,4.5948093220339,1
2.4379522403157496,4.5948093220339,1
2.4456802986682273,4.5948093220339,1
2.4456802986682273,4.5948093220339,1
2.453408357020705,4.5948093220339,1
2.453408357020705,4.5948093220339,1
2.4611364153731827,4.5948093220339,1
2.4611364153731827,4.5948093220339,1
2.4688644737256604,4.5948093220339,1
2.4688644737256604,4.5948093220339,1
2.476592532078138,4.5948093220339,1
2.476592532078138,4.5948093220339,1
2.484320590430616,4.5948093220339,1
2.484320590430616,4.5948093220339,1
2.4920486487830935,4.5948093220339,1
2.4920486487830935,4.5948093220339,1
2.499776707135571,4.5948093220339,1
2.499776707135571,4.5948093220339,1
2.507504765488049,4.5948093220339,1
2.507504765488049,4.5948093220339,1
2.5152328238405266,4.5948093220339,1
2.5152328238405266,4.5948093220339,1
2.5229608821930043,4.5948093220339,1
2.5229608821930043,4.5948093220339,1
2.530688940545482,4.5948093220339,1
2.530688940545482,4.5948093220339,1
2.5384169988979597,4.5948093220339,1
2.5384169988979597,4.5948093220339,1
2.5461450572504374,4.5948093220339,1
2.5461450572504374,4.5948093220339,1
2.553873115602915,4.5948093220339,1
2.553873115602915,4.5948093220339,1
2.5616011739553928,4.5948093220339,1
2.5616011739553928,4.5948093220339,1
2.5693292323078705,4.5948093220339,1
2.5693292323078705,4.5948093220339,1
2.577057290660348,4.5948093220339,1
2.577057290660348,4.5948093220339,1
2.584785349012826,4.5948093220339,1
2.584785349012826,4.5948093220339,1
2.5925134073653036,4.5948093220339,1
2.5925134073653036,4.5948093220339,1
2.6002414657177813,4.5948093220339,1
2.6002414657177813,4.5948093220339,1
2.607969524070259,4.5948093220339,1
2.607969524070259,4.5948093220339,1
2.608114589617283,4.5948093220339,1
2.6156975824227366,4.5948093220339,1
2.6156975824227366,4.7139830508474585,1
2.6385767000821265,4.7139830508474585,1
2.6385767000821265,4.819915254237284,1
2.6575704597776353,4.819915254237284,1
2.6619539753095163,4.819915254237284,1
2.6619539753095163,4.925847457627119,1
2.685775043944906,4.925847457627119,1
2.685775043944906,5.0317796610169445,1
2.710074975940296,5.0317796610169445,1
2.710074975940296,5.150953389830503,1
2.7350837903676855,5.150953389830503,1
2.7350837903676855,5.256885593220339,1
2.758117884283075,5.256885593220339,1
2.758117884283075,5.362817796610164,1
2.781559397078465,5.362817796610164,1
2.781559397078465,5.46875,1
2.8055655250418545,5.46875,1
2.8055655250418545,5.5713718220339,1
2.830028795277244,5.5713718220339,1
2.830028795277244,5.677304025423724,1
2.8549333787926336,5.677304025423724,1
2.8549333787926336,5.78323622881356,1
2.8803480863400233,5.78323622881356,1
2.8803480863400233,5.889168432203384,1
2.906297803167413,5.889168432203384,1
2.906297803167413,5.991790254237284,1
2.9326470786508025,5.991790254237284,1
2.9326470786508025,6.097722457627119,1
2.959455351894192,6.097722457627119,1
2.959455351894192,6.2036546610169445,1
2.986691384753582,6.2036546610169445,1
2.986691384753582,6.30958686440678,1
3.0143779837569715,6.30958686440678,1
3.0143779837569715,6.412208686440679,1
3.0424311051283612,6.412208686440679,1
3.0424311051283612,6.498278601694918,1
3.0649008415830057,6.498278601694918,1
3.0649008415830057,6.498278601694918,1
3.0727181044006002,6.498278601694918,1
3.0727181044006002,6.498278601694918,1
3.0805353672181948,5.0847457627118615,1
3.0805353672181948,5.0847457627118615,1
3.088304909217965,5.0847457627118615,1
3.088304909217965,5.0847457627118615,1
3.096074451217735,5.0847457627118615,1
3.096074451217735,5.0847457627118615,1
3.103843993217505,5.0847457627118615,1
3.103843993217505,5.101297669491522,1
3.111613535217275,5.101297669491522,1
3.111613535217275,5.101297669491522,1
3.119383077217045,5.101297669491522,1
3.119383077217045,5.101297669491522,1
3.1271526192168153,5.101297669491522,1
3.1271526192168153,5.101297669491522,1
3.1349221612165854,5.101297669491522,1
3.1349221612165854,5.101297669491522,1
3.1426917032163555,5.101297669491522,1
3.1426917032163555,5.101297669491522,1
3.1504612452161256,5.101297669491522,1
3.1504612452161256,5.101297669491522,1
3.1582307872158957,5.101297669491522,1
3.1582307872158957,5.101297669491522,1
3.1660003292156658,5.101297669491522,1
3.1660003292156658,5.101297669491522,1
3.173769871215436,5.101297669491522,1
3.173769871215436,5.101297669491522,1
3.181539413215206,5.101297669491522,1
3.181539413215206,5.117849576271183,1
3.189308955214976,5.117849576271183,1
3.189308955214976,5.117849576271183,1
3.197078497214746,5.117849576271183,1
3.197078497214746,5.117849576271183,1
3.204848039214516,5.117849576271183,1
3.204848039214516,5.117849576271183,1
3.2126175812142863,5.117849576271183,1
3.2126175812142863,5.117849576271183,1
3.2203871232140564,5.117849576271183,1
3.2203871232140564,5.117849576271183,1
3.2281566652138265,5.117849576271183,1
3.2281566652138265,5.117849576271183,1
3.2359262072135966,5.117849576271183,1
3.2359262072135966,5.117849576271183,1
3.2436957492133667,5.117849576271183,1
3.2436957492133667,5.117849576271183,1
3.2514652912131368,5.117849576271183,1
3.2514652912131368,5.117849576271183,1
3.259234833212907,5.117849576271183,1
3.259234833212907,5.117849576271183,1
3.267004375212677,5.117849576271183,1
3.267004375212677,5.117849576271183,1
3.274773917212447,5.117849576271183,1
3.274773917212447,5.134401483050843,1
3.282543459212217,5.134401483050843,1
3.282543459212217,5.134401483050843,1
3.290313001211987,5.134401483050843,1
3.290313001211987,5.134401483050843,1
3.2980558454837574,5.134401483050843,1
3.2980558454837574,5.134401483050843,1
3.3057986897555276,5.134401483050843,1
3.3057986897555276,5.134401483050843,1
3.313541534027298,5.134401483050843,1
3.313541534027298,5.134401483050843,1
3.321284378299068,5.134401483050843,1
3.321284378299068,5.134401483050843,1
3.329027222570838,5.134401483050843,1
3.329027222570838,5.134401483050843,1
3.3367700668426084,5.134401483050843,1
3.3367700668426084,5.134401483050843,1
3.3445129111143785,5.134401483050843,1
3.3445129111143785,5.134401483050843,1
3.3522557553861487,5.134401483050843,1
3.3522557553861487,5.134401483050843,1
3.359998599657919,5.134401483050843,1
3.359998599657919,5.134401483050843,1
3.367741443929689,5.134401483050843,1
3.367741443929689,5.134401483050843,1
3.3754842882014593,5.134401483050843,1
3.3754842882014593,5.134401483050843,1
3.3832271324732295,5.134401483050843,1
3.3832271324732295,5.134401483050843,1
3.3909699767449997,5.134401483050843,1
3.3909699767449997,5.134401483050843,1
3.39871282101677,5.134401483050843,1
3.39871282101677,5.134401483050843,1
3.40645566528854,5.134401483050843,1
3.40645566528854,5.134401483050843,1
3.4141985095603102,5.134401483050843,1
3.4141985095603102,5.134401483050843,1
3.4219413538320804,5.134401483050843,1
3.4219413538320804,5.134401483050843,1
3.4296841981038506,5.134401483050843,1
3.4296841981038506,5.134401483050843,1
3.437427042375621,5.134401483050843,1
3.437427042375621,5.134401483050843,1
3.445169886647391,5.134401483050843,1
3.445169886647391,5.134401483050843,1
3.452912730919161,5.134401483050843,1
3.452912730919161,5.134401483050843,1
3.4606555751909314,5.134401483050843,1
3.4606555751909314,5.134401483050843,1
