Batch Id,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_num_completed_prefills,batch_execution_time,kv_free_blocks_before,kv_free_blocks_after,batch_request_ids,num_requests_not_selected,num_requests_initiated_not_completed,num_decode_phase_total,num_prefill_queue_total,num_not_initiated_in_queue,total_requests_batch_start,replica
21,512,511,1,2,0,0.026117,29495,29495,0;1,0,2,1,1,0,2,0
22,512,511,1,2,0,0.026545,29463,29463,0;1,0,2,1,1,0,2,0
23,512,511,1,2,0,0.026855,29431,29431,0;1,0,2,1,1,0,2,0
24,512,511,1,2,0,0.027467,29400,29400,0;1,0,2,1,1,0,2,0
25,512,511,1,2,0,0.027818,29368,29368,0;1,0,2,1,1,0,2,0
26,512,511,1,2,0,0.028087,29336,29336,0;1,0,2,1,1,0,2,0
27,512,511,1,2,0,0.028682,29304,29304,0;1,0,2,1,1,0,2,0
28,270,269,1,2,1,0.017409,29287,29287,0;1,0,2,1,1,0,2,0
29,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
30,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
31,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
32,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
33,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
34,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
35,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
36,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
37,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
38,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
39,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
40,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
41,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
42,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
43,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
44,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
45,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
46,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
47,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
48,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
49,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
50,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
51,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
52,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
53,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
54,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
55,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
56,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
57,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
58,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
59,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
60,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
61,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
62,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
63,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
64,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
65,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
66,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
67,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
68,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
69,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
70,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
71,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
72,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
73,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
74,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
75,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
76,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
77,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
78,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
79,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
80,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
81,2,0,2,2,0,0.007717,29287,29287,0;1,0,2,2,0,0,2,0
