Batch Id,mlp_up_proj,mlp_activation,mlp_down_proj,mlp_down_proj_all_reduce,attn_pre_proj,attn_post_proj,attn_post_proj_all_reduce,attn_prefill,attn_kv_cache_save,attn_decode,attn_rope,pipeline_send_recv,add,input_layernorm,post_attention_layernorm,schedule,sample_e2e,prepare_inputs_e2e,model_execution_e2e,process_model_outputs,ray_comm_time,replica
259,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
263,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
267,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
272,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
276,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
280,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
285,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
289,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
293,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
298,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
302,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
306,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
311,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
315,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
319,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
324,0.083182,0.008016,0.044727,0,0.020968,0.015900,0,0.000000,0.015432,0.043887,0.003000,0,0.002032,0.004000,0.004000,0,0,0,7.812101,0,0,0
