Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
35,35.462735,0.078982,16.516451,0.036785,16.516451,0.036785,0.000000,18.946284,16.516451,0.036785,20.060038,0.001170,1.113753,0.000065,0.034304,0.105034,17596.000000,17147.000000,512,449.000000,38.189310,0,19.606592,2
36,20.956498,0.676016,1.004600,0.032406,1.004600,0.032406,0.000000,19.951899,1.004600,0.032406,20.123348,0.007174,0.171449,0.000061,0.026876,0.069586,2836.000000,2805.000000,512,31.000000,90.483871,0,19.676178,2
37,27.593440,0.114973,7.820659,0.032586,7.820659,0.032586,0.000000,19.772781,7.820659,0.032586,19.852685,0.012240,0.079903,0.000049,0.032253,0.322850,1862.000000,1622.000000,512,240.000000,6.758333,0,19.999028,2
38,38.778653,0.069871,19.081060,0.034380,19.081060,0.034380,0.000000,19.697593,19.081060,0.034380,19.910941,0.004809,0.213348,0.000052,0.033996,0.128679,4695.000000,4140.000000,512,555.000000,7.459459,0,20.127707,2
39,37.424199,0.071420,18.095872,0.034534,18.095872,0.034534,0.000000,19.328327,18.095872,0.034534,19.488081,0.007642,0.159754,0.000063,0.034229,0.554050,3074.000000,2550.000000,512,524.000000,4.866412,0,20.681757,2
40,39.234098,0.066838,20.060934,0.034175,20.060934,0.034175,0.000000,19.173164,20.060934,0.034175,19.279439,0.007987,0.106275,0.000044,0.033994,0.287373,3001.000000,2414.000000,512,587.000000,4.112436,0,20.969130,2
41,27.137368,0.119548,8.778866,0.038673,8.778866,0.038673,0.000000,18.358502,8.778866,0.038673,19.307389,0.001327,0.948887,0.000065,0.034493,0.893918,14780.000000,14553.000000,512,227.000000,64.110132,0,21.863048,2
42,27.854232,0.116545,9.185720,0.038434,9.185720,0.038434,0.000000,18.668512,9.185720,0.038434,19.470065,0.001544,0.801553,0.000064,0.035080,0.602428,12846.000000,12607.000000,512,239.000000,52.748954,0,22.465476,2
43,30.669598,0.094659,11.421233,0.035251,11.421233,0.035251,0.000000,19.248365,11.421233,0.035251,19.336136,0.012254,0.087771,0.000056,0.034980,0.187250,1902.000000,1578.000000,512,324.000000,4.870370,0,22.652726,2
44,26.365151,0.129878,7.948675,0.039156,7.948675,0.039156,0.000000,18.416476,7.948675,0.039156,19.049818,0.001881,0.633342,0.000063,0.036036,0.892669,10330.000000,10127.000000,512,203.000000,49.886700,0,23.545396,2
45,23.037191,0.219402,4.838130,0.046077,4.838130,0.046077,0.000000,18.199061,4.838130,0.046077,19.608413,0.000957,1.409352,0.000069,0.032655,0.816774,20593.000000,20488.000000,512,105.000000,195.123810,0,24.362170,2
46,36.225420,0.075313,16.903936,0.035143,16.903936,0.035143,0.000000,19.321484,16.903936,0.035143,19.744081,0.002806,0.422597,0.000060,0.034265,0.245086,7518.000000,7037.000000,512,481.000000,14.629938,0,24.607255,2
47,31.273753,0.096524,11.731727,0.036209,11.731727,0.036209,0.000000,19.542026,11.731727,0.036209,19.627370,0.013920,0.085344,0.000061,0.035946,0.170069,1734.000000,1410.000000,512,324.000000,4.351852,0,24.777324,2
48,32.174046,0.089125,13.147322,0.036419,13.147322,0.036419,0.000000,19.026725,13.147322,0.036419,19.368226,0.003281,0.341501,0.000058,0.035473,0.573632,6264.000000,5903.000000,512,361.000000,16.351801,0,25.350956,2
49,33.604161,0.092829,14.342050,0.039619,14.342050,0.039619,0.000000,19.262111,14.342050,0.039619,21.005026,0.000870,1.742915,0.000072,0.034804,0.075268,24505.000000,24143.000000,512,362.000000,66.693370,0,25.426223,2
50,43.637869,0.074088,22.788594,0.038690,22.788594,0.038690,0.000000,20.849275,22.788594,0.038690,24.084985,0.000619,3.235710,0.000083,0.033197,0.111514,39484.000000,38895.000000,512,589.000000,66.035654,0,25.537738,2
51,38.108196,0.091827,14.080853,0.033930,14.080853,0.033930,0.000000,24.027343,14.080853,0.033930,24.521708,0.003044,0.494365,0.000061,0.032739,0.003695,8470.000000,8055.000000,512,415.000000,19.409639,0,25.541433,2
52,31.727973,0.144877,8.010729,0.036579,8.010729,0.036579,0.000000,23.717245,8.010729,0.036579,24.281296,0.002560,0.564051,0.000059,0.034003,0.773054,9705.000000,9486.000000,512,219.000000,43.315068,0,26.314487,2
53,45.417777,0.077373,21.715248,0.036994,21.715248,0.036994,0.000000,23.702529,21.715248,0.036994,25.508769,0.001030,1.806240,0.000073,0.033917,0.546590,25345.000000,24758.000000,512,587.000000,42.177172,0,26.861077,2
54,39.630697,0.095038,14.777752,0.035438,14.777752,0.035438,0.000000,24.852945,14.777752,0.035438,25.967897,0.001596,1.114951,0.000069,0.032765,0.610670,16690.000000,16273.000000,512,417.000000,39.023981,0,27.471747,2
55,42.616983,0.092847,17.447286,0.038012,17.447286,0.038012,0.000000,25.169696,17.447286,0.038012,27.328536,0.000969,2.158840,0.000077,0.033308,0.758724,28672.000000,28213.000000,512,459.000000,61.466231,0,28.230470,2
56,30.651393,0.312769,3.676300,0.037513,3.676300,0.037513,0.000000,26.975094,3.676300,0.037513,27.713147,0.002399,0.738053,0.000064,0.029982,0.307090,11651.000000,11553.000000,512,98.000000,117.887755,0,28.537561,2
57,28.244949,1.176873,0.986692,0.041112,0.986692,0.041112,0.000000,27.258257,0.986692,0.041112,27.566762,0.005155,0.308505,0.000058,0.028258,0.420523,5372.000000,5348.000000,512,24.000000,222.833333,0,28.958084,2
58,39.323840,0.110771,11.862010,0.033414,11.862010,0.033414,0.000000,27.461830,11.862010,0.033414,27.622880,0.009652,0.161051,0.000056,0.032960,0.075293,3217.000000,2862.000000,512,355.000000,8.061972,0,29.033377,2
59,41.801547,0.099291,14.266898,0.033888,14.266898,0.033888,0.000000,27.534648,14.266898,0.033888,27.617941,0.019100,0.083292,0.000058,0.033690,0.060818,1867.000000,1446.000000,512,421.000000,3.434679,0,29.094196,2
60,45.975428,0.088076,18.937718,0.036279,18.937718,0.036279,0.000000,27.037710,18.937718,0.036279,27.986992,0.001918,0.949282,0.000065,0.034461,0.551917,15115.000000,14593.000000,512,522.000000,27.955939,0,29.646113,2
61,40.833974,0.108891,13.201727,0.035205,13.201727,0.035205,0.000000,27.632247,13.201727,0.035205,28.141368,0.003332,0.509122,0.000060,0.033847,0.318474,8822.000000,8447.000000,512,375.000000,22.525333,0,29.964588,2
62,46.967608,0.087954,19.274582,0.036095,19.274582,0.036095,0.000000,27.693026,19.274582,0.036095,28.597664,0.001986,0.904638,0.000063,0.034401,0.416476,14932.000000,14398.000000,512,534.000000,26.962547,0,30.381064,2
63,29.671621,0.520555,1.834458,0.032183,1.834458,0.032183,0.000000,27.837163,1.834458,0.032183,27.925238,0.019805,0.088075,0.000062,0.030638,0.724082,1467.000000,1410.000000,512,57.000000,24.736842,0,31.105146,2
64,34.412553,0.193329,7.017016,0.039421,7.017016,0.039421,0.000000,27.395536,7.017016,0.039421,28.715588,0.001421,1.320051,0.000065,0.032005,0.503543,20384.000000,20206.000000,512,178.000000,113.516854,0,31.608689,2
65,34.857338,0.178756,6.544997,0.033564,6.544997,0.033564,0.000000,28.312341,6.544997,0.033564,28.500672,0.007711,0.188331,0.000051,0.032598,0.403247,3891.000000,3696.000000,512,195.000000,18.953846,0,32.011936,2
66,40.843706,0.111595,12.781230,0.034921,12.781230,0.034921,0.000000,28.062475,12.781230,0.034921,28.223436,0.008923,0.160961,0.000051,0.034482,0.409590,3529.000000,3163.000000,512,366.000000,8.642077,0,32.421526,2
67,30.381698,1.168527,2.367043,0.091040,2.367043,0.091040,0.000000,28.014655,2.367043,0.091040,29.674570,0.001254,1.659915,0.000070,0.027197,0.181167,23681.000000,23655.000000,512,26.000000,909.807692,0,32.602693,2
68,48.374127,0.089251,18.759101,0.034611,18.759101,0.034611,0.000000,29.615026,18.759101,0.034611,29.969277,0.004658,0.354251,0.000055,0.033957,0.015651,6976.000000,6434.000000,512,542.000000,11.870849,0,32.618345,2
69,45.466659,0.103569,15.815118,0.036025,15.815118,0.036025,0.000000,29.651541,15.815118,0.036025,30.174631,0.003375,0.523091,0.000059,0.034834,0.286987,9380.000000,8941.000000,512,439.000000,20.366743,0,32.905332,2
70,44.261172,0.114370,14.239794,0.036795,14.239794,0.036795,0.000000,30.021378,14.239794,0.036795,30.546306,0.003446,0.524928,0.000059,0.035439,0.120771,9251.000000,8864.000000,512,387.000000,22.904393,0,33.026103,2
71,39.604713,0.167108,9.353122,0.039465,9.353122,0.039465,0.000000,30.251591,9.353122,0.039465,31.049082,0.002450,0.797491,0.000063,0.036100,0.262571,12908.000000,12671.000000,512,237.000000,53.464135,0,33.288674,2
72,53.700974,0.089056,23.647260,0.039216,23.647260,0.039216,0.000000,30.053714,23.647260,0.039216,32.185385,0.001120,2.131671,0.000074,0.035681,0.960034,29329.000000,28726.000000,512,603.000000,47.638474,0,34.248708,2
73,34.074663,11.358221,2.070245,0.690082,2.070245,0.690082,0.000000,32.004417,2.070245,0.690082,34.021630,0.001242,2.017213,0.000074,0.017678,0.133247,27406.000000,27403.000000,512,3.000000,9134.333333,0,34.381955,2
74,45.929632,0.132362,11.984405,0.034537,11.984405,0.034537,0.000000,33.945227,11.984405,0.034537,34.098915,0.012892,0.153688,0.000058,0.034094,0.030036,2992.000000,2645.000000,512,347.000000,7.622478,0,34.411991,2
75,45.221158,0.177338,11.315012,0.044373,11.315012,0.044373,0.000000,33.906146,11.315012,0.044373,36.824376,0.000997,2.918230,0.000079,0.032929,0.165214,37189.000000,36934.000000,512,255.000000,144.839216,0,34.577205,2
76,46.171688,0.159213,9.573331,0.033011,9.573331,0.033011,0.000000,36.598356,9.573331,0.033011,36.726805,0.018970,0.128448,0.000066,0.032569,0.173782,2226.000000,1936.000000,512,290.000000,6.675862,0,34.750987,2
77,50.661584,0.130908,14.503105,0.037476,14.503105,0.037476,0.000000,36.158479,14.503105,0.037476,37.356283,0.002008,1.197804,0.000064,0.034381,0.542231,18991.000000,18604.000000,512,387.000000,48.072351,0,35.293218,2
78,58.971922,0.109613,22.061542,0.041007,22.061542,0.041007,0.000000,36.910380,22.061542,0.041007,39.652226,0.001113,2.741845,0.000077,0.035910,0.407129,36176.000000,35638.000000,512,538.000000,66.241636,0,35.700348,2
79,40.385140,0.841357,1.550663,0.032305,1.550663,0.032305,0.000000,38.834477,1.550663,0.032305,38.937373,0.026560,0.102896,0.000070,0.030162,0.766003,1514.000000,1466.000000,512,48.000000,30.541667,0,36.466350,2
80,63.075574,0.100279,24.709939,0.039284,24.709939,0.039284,0.000000,38.365635,24.709939,0.039284,39.403232,0.002408,1.037596,0.000063,0.037635,0.545789,16993.000000,16364.000000,512,629.000000,26.015898,0,37.012139,2
81,64.245303,0.101654,25.140632,0.039779,25.140632,0.039779,0.000000,39.104671,25.140632,0.039779,39.675106,0.004068,0.570436,0.000058,0.038877,0.260764,10386.000000,9754.000000,512,632.000000,15.433544,0,37.272903,2
82,56.558308,0.122953,17.756829,0.038602,17.756829,0.038602,0.000000,38.801478,17.756829,0.038602,39.636830,0.002949,0.835352,0.000062,0.036786,0.841059,13899.000000,13439.000000,512,460.000000,29.215217,0,38.113962,2
83,53.560225,0.155247,14.050233,0.040725,14.050233,0.040725,0.000000,39.509992,14.050233,0.040725,40.677657,0.002221,1.167665,0.000064,0.037341,0.091345,18656.000000,18311.000000,512,345.000000,53.075362,0,38.205307,2
84,41.124042,41.124042,0.496679,0.496679,0.496679,0.496679,0.000000,40.627363,0.496679,0.496679,41.124042,0.004812,0.496679,0.000058,0.000000,0.011487,8547.000000,8546.000000,512,1.000000,8546.000000,0,38.216794,2
85,67.214047,0.112775,26.169081,0.043908,26.169081,0.043908,0.000000,41.044966,26.169081,0.043908,41.730728,0.003704,0.685763,0.000061,0.042757,0.047182,11861.000000,11265.000000,512,596.000000,18.901007,0,38.263975,2
86,55.203359,0.152495,14.146954,0.039080,14.146954,0.039080,0.000000,41.056406,14.146954,0.039080,41.331183,0.008180,0.274777,0.000054,0.038321,0.640714,5415.000000,5053.000000,512,362.000000,13.958564,0,38.904689,2
87,64.206310,0.138376,23.213783,0.050030,23.213783,0.050030,0.000000,40.992527,23.213783,0.050030,44.576710,0.001031,3.584184,0.000083,0.042305,0.309834,43698.000000,43234.000000,512,464.000000,93.176724,0,39.214523,2
88,46.118523,1.356427,1.687487,0.049632,1.687487,0.049632,0.000000,44.431036,1.687487,0.049632,45.113479,0.004097,0.682443,0.000062,0.029560,0.087934,11046.000000,11012.000000,512,34.000000,323.882353,0,39.302458,2
89,67.279956,0.136748,22.547993,0.045829,22.547993,0.045829,0.000000,44.731963,22.547993,0.045829,45.605675,0.003228,0.873712,0.000062,0.044053,0.347619,14620.000000,14128.000000,512,492.000000,28.715447,0,39.650077,2
90,76.395927,0.139155,30.909161,0.056301,30.909161,0.056301,0.000000,45.486765,30.909161,0.056301,49.943965,0.000991,4.457200,0.000088,0.048182,0.082621,50963.000000,50414.000000,512,549.000000,91.828780,0,39.732698,2
91,70.245945,0.159650,20.960601,0.047638,20.960601,0.047638,0.000000,49.285344,20.960601,0.047638,50.452172,0.002869,1.166828,0.000066,0.044986,0.595891,18023.000000,17583.000000,512,440.000000,39.961364,0,40.328589,2
92,83.448761,0.148222,33.330779,0.059202,33.330779,0.059202,0.000000,50.117982,33.330779,0.059202,51.580054,0.002387,1.462072,0.000068,0.056605,0.295436,22169.000000,21606.000000,512,563.000000,38.376554,0,40.624026,2
93,78.456112,0.175125,27.157879,0.060620,27.157879,0.060620,0.000000,51.298232,27.157879,0.060620,53.528808,0.001798,2.230575,0.000075,0.055641,0.239842,30225.000000,29777.000000,512,448.000000,66.466518,0,40.863868,2
94,55.625224,1.589292,2.324268,0.066408,2.324268,0.066408,0.000000,53.300955,2.324268,0.066408,54.505756,0.003034,1.204800,0.000067,0.031985,0.179419,18000.000000,17965.000000,512,35.000000,513.285714,0,41.043287,2
95,95.678731,0.140086,41.710379,0.061069,41.710379,0.061069,0.000000,53.968352,41.710379,0.061069,63.300552,0.000765,9.332200,0.000113,0.047406,0.497508,83471.000000,82788.000000,512,683.000000,121.212299,0,41.540795,2
96,93.212899,0.161268,30.223734,0.052290,30.223734,0.052290,0.000000,62.989165,30.223734,0.052290,64.968232,0.002446,1.979067,0.000075,0.048866,0.224562,27135.000000,26557.000000,512,578.000000,45.946367,0,41.765356,2
