Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica,__source__
35,35.462735,0.078982,16.516451,0.036785,16.516451,0.036785,0.0,18.946284,16.516451,0.036785,20.060038,0.00117,1.113753,6.5e-05,0.034304,0.105034,17596.0,17147.0,512.0,449.0,38.18931,0.0,19.606592,0,baseline
36,20.956498,0.676016,1.0046,0.032406,1.0046,0.032406,0.0,19.951899,1.0046,0.032406,20.123348,0.007174,0.171449,6.1e-05,0.026876,0.069586,2836.0,2805.0,512.0,31.0,90.483871,0.0,19.676178,0,baseline
37,27.59344,0.114973,7.820659,0.032586,7.820659,0.032586,0.0,19.772781,7.820659,0.032586,19.852685,0.01224,0.079903,4.9e-05,0.032253,0.32285,1862.0,1622.0,512.0,240.0,6.758333,0.0,19.999028,0,baseline
38,38.778653,0.069871,19.08106,0.03438,19.08106,0.03438,0.0,19.697593,19.08106,0.03438,19.910941,0.004809,0.213348,5.2e-05,0.033996,0.128679,4695.0,4140.0,512.0,555.0,7.459459,0.0,20.127707,0,baseline
39,37.424199,0.07142,18.095872,0.034534,18.095872,0.034534,0.0,19.328327,18.095872,0.034534,19.488081,0.007642,0.159754,6.3e-05,0.034229,0.55405,3074.0,2550.0,512.0,524.0,4.866412,0.0,20.681757,0,baseline
40,39.234098,0.066838,20.060934,0.034175,20.060934,0.034175,0.0,19.173164,20.060934,0.034175,19.279439,0.007987,0.106275,4.4e-05,0.033994,0.287373,3001.0,2414.0,512.0,587.0,4.112436,0.0,20.96913,0,baseline
41,27.137368,0.119548,8.778866,0.038673,8.778866,0.038673,0.0,18.358502,8.778866,0.038673,19.307389,0.001327,0.948887,6.5e-05,0.034493,0.893918,14780.0,14553.0,512.0,227.0,64.110132,0.0,21.863048,0,baseline
42,27.854232,0.116545,9.18572,0.038434,9.18572,0.038434,0.0,18.668512,9.18572,0.038434,19.470065,0.001544,0.801553,6.4e-05,0.03508,0.602428,12846.0,12607.0,512.0,239.0,52.748954,0.0,22.465476,0,baseline
43,30.669598,0.094659,11.421233,0.035251,11.421233,0.035251,0.0,19.248365,11.421233,0.035251,19.336136,0.012254,0.087771,5.6e-05,0.03498,0.18725,1902.0,1578.0,512.0,324.0,4.87037,0.0,22.652726,0,baseline
44,26.365151,0.129878,7.948675,0.039156,7.948675,0.039156,0.0,18.416476,7.948675,0.039156,19.049818,0.001881,0.633342,6.3e-05,0.036036,0.892669,10330.0,10127.0,512.0,203.0,49.8867,0.0,23.545396,0,baseline
