game_id,history_hops,model_kind,model_checkpoint,cycle1_label,cycle1_slo_violations,cycle1_total_lateness,cycle1_total_cost,cycle1_end_reason,cycle2_label,cycle2_slo_violations,cycle2_total_lateness,cycle2_total_cost,cycle2_end_reason,cost_delta_cycle2_minus_cycle1,better_cycle,cycle1_log_file,cycle2_log_file
12000025,87,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,10,54.3675870532902,64.36758705329021,time_limit,model_adv_depth1_vs_model_ctrl_depth1,9,54.45078091655727,63.45078091655727,time_limit,-0.9168061367329372,model_adv_depth1_vs_model_ctrl_depth1,,
12000026,99,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,18,39.526755399773876,57.526755399773876,time_limit,model_adv_depth1_vs_model_ctrl_depth1,8,39.20762434341807,47.20762434341807,time_limit,-10.319131056355808,model_adv_depth1_vs_model_ctrl_depth1,,
12000027,26,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,10,24.32518444913106,34.32518444913106,time_limit,model_adv_depth1_vs_model_ctrl_depth1,6,24.180586872445307,30.180586872445307,time_limit,-4.144597576685751,model_adv_depth1_vs_model_ctrl_depth1,,
12000028,50,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,14,24.574619746162295,38.5746197461623,time_limit,model_adv_depth1_vs_model_ctrl_depth1,6,24.161870718731954,30.161870718731954,time_limit,-8.412749027430344,model_adv_depth1_vs_model_ctrl_depth1,,
12000029,32,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,18,16.228111688788253,34.22811168878825,time_limit,model_adv_depth1_vs_model_ctrl_depth1,15,17.11204124048038,32.11204124048038,time_limit,-2.116070448307873,model_adv_depth1_vs_model_ctrl_depth1,,
12000030,44,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,22,31.2340443010536,53.2340443010536,time_limit,model_adv_depth1_vs_model_ctrl_depth1,18,31.873669291129342,49.873669291129346,time_limit,-3.3603750099242546,model_adv_depth1_vs_model_ctrl_depth1,,
12000031,45,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,15,48.68053362093008,63.68053362093008,time_limit,model_adv_depth1_vs_model_ctrl_depth1,15,48.63310037669345,63.63310037669345,time_limit,-0.04743324423662898,model_adv_depth1_vs_model_ctrl_depth1,,
12000032,48,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,14,39.63659185304522,53.63659185304522,time_limit,model_adv_depth1_vs_model_ctrl_depth1,10,39.72641681830171,49.72641681830171,time_limit,-3.91017503474351,model_adv_depth1_vs_model_ctrl_depth1,,
12000033,97,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,10,66.48027282898073,76.48027282898073,time_limit,model_adv_depth1_vs_model_ctrl_depth1,5,66.30724429879186,71.30724429879186,time_limit,-5.173028530188873,model_adv_depth1_vs_model_ctrl_depth1,,
12000034,9,classical_joblib,simulator_output/GV3_Agent/BellmanConvergence/cached_v2_fast_100v/Model_Version100/cliff_aware_controller_value.joblib,model_adv_depth1_vs_trivial_ctrl,19,9.752775659611597,28.752775659611597,time_limit,model_adv_depth1_vs_model_ctrl_depth1,14,11.11887833382448,25.11887833382448,time_limit,-3.6338973257871174,model_adv_depth1_vs_model_ctrl_depth1,,
