batch_id,request_id,slo_type,slo_remaining_ms,only_in_queue,added_in_last_batch,request_type_after_batch,kv_context_len_tokens,prefill_len_tokens,prefill_remaining_tokens,replica
534,8,TTFT,0,False,True,prefill,2544,11010,8466,0
548,0,TBT,0,False,True,decode,7376,7270,0,0
548,8,TTFT,0,False,True,prefill,3056,11010,7954,0
562,0,TBT,0,False,True,decode,7392,7270,0,0
562,8,TTFT,0,False,True,prefill,3568,11010,7442,0
575,0,TBT,0,False,True,decode,7392,7270,0,0
575,8,TTFT,0,False,True,prefill,4080,11010,6930,0
587,0,TBT,0,False,True,decode,7392,7270,0,0
587,8,TTFT,0,False,True,prefill,4592,11010,6418,0
599,0,TBT,0,False,True,decode,7392,7270,0,0
599,8,TTFT,0,False,True,prefill,5104,11010,5906,0
611,0,TBT,0,False,True,decode,7392,7270,0,0
611,8,TTFT,0,False,True,prefill,5616,11010,5394,0
625,0,TBT,0,False,True,decode,7392,7270,0,0
625,8,TTFT,0,False,True,prefill,6128,11010,4882,0
636,0,TBT,0,False,True,decode,7392,7270,0,0
636,8,TTFT,0,False,True,prefill,6640,11010,4370,0
650,0,TBT,0,False,True,decode,7392,7270,0,0
650,8,TTFT,0,False,True,prefill,7152,11010,3858,0
663,0,TBT,0,False,True,decode,7392,7270,0,0
663,8,TTFT,0,False,True,prefill,7664,11010,3346,0
676,0,TBT,0,False,True,decode,7392,7270,0,0
676,8,TTFT,0,False,True,prefill,8176,11010,2834,0
688,0,TBT,0,False,True,decode,7392,7270,0,0
688,8,TTFT,0,False,True,prefill,8688,11010,2322,0
701,0,TBT,0,False,True,decode,7392,7270,0,0
701,8,TTFT,0,False,True,prefill,9184,11010,1826,0
713,0,TBT,0,False,True,decode,7392,7270,0,0
713,8,TTFT,0,False,True,prefill,9696,11010,1314,0
724,0,TBT,0,False,True,decode,7392,7270,0,0
724,8,TTFT,0,False,True,prefill,10208,11010,802,0
735,0,TBT,0,False,True,decode,7392,7270,0,0
735,8,TTFT,0,False,True,prefill,10720,11010,290,0
745,0,TBT,0,False,True,decode,7392,7270,0,0
745,8,TBT,0,False,True,decode,11008,11010,0,0
753,0,TBT,0,False,True,decode,7408,7270,0,0
753,8,TBT,0,False,True,decode,11008,11010,0,0
755,0,TBT,0,False,True,decode,7408,7270,0,0
755,8,TBT,0,False,True,decode,11008,11010,0,0
759,0,TBT,0,False,True,decode,7408,7270,0,0
759,8,TBT,0,False,True,decode,11008,11010,0,0
763,0,TBT,0,False,True,decode,7408,7270,0,0
763,8,TBT,0,False,True,decode,11008,11010,0,0
767,0,TBT,0,False,True,decode,7408,7270,0,0
767,8,TBT,0,False,True,decode,11008,11010,0,0
769,0,TBT,0,False,True,decode,7408,7270,0,0
769,8,TBT,0,False,True,decode,11008,11010,0,0
774,0,TBT,0,False,True,decode,7408,7270,0,0
774,8,TBT,0,False,True,decode,11008,11010,0,0
779,0,TBT,0,False,True,decode,7408,7270,0,0
779,8,TBT,0,False,True,decode,11008,11010,0,0
782,0,TBT,0,False,True,decode,7408,7270,0,0
782,8,TBT,0,False,True,decode,11008,11010,0,0
786,0,TBT,0,False,True,decode,7408,7270,0,0
786,8,TBT,0,False,True,decode,11008,11010,0,0
789,0,TBT,0,False,True,decode,7408,7270,0,0
